original_name,clean_name_x,url,source_url,land_size_sqm,master_plan_gfa_sqm,master_plan_plot_ratio,project_name,street_name,postal_code_x,property_type,tenure,district_planning_area,completion,number_of_units,historical_high,indicative_average_price_from_historical_high,historical_low,buyer_profile_by_residential_status,buyer_profile_by_purchaser_address,indicative_price_range_average,indicative_rental_range_average,implied_rental_yield,developer,age_years,architect,main_contractor,status,clean_name_y,address,postal_code_y,latitude,longitude,blk_no,road_name,search_query,nearest_mrt,mrt_distance,mrt_station_code
CASA AROMA,casa-aroma,https://www.edgeprop.sg/condo-apartment/casa-aroma,https://www.edgeprop.sg/condo-apartment/casa-aroma,986,"1,380",1.4,CASA AROMA,Chiku Road,429433,Apartment,Freehold,D15 / Geylang,2003,10 units,"S$ 1,101 psf in Jun 2021 for a 1,281-sqft unit",-3.1%,"S$ 362 psf in Nov 2003 for a 2,250-sqft unit","Singaporean 82.8%, PR 6.9%, Foreigner 10.3%, Company 0.0%","HDB 34.5%, Private 65.5%","S$ 1,067 - S$ 1,067 psf / S$ 1,067 psf",S$ 3.4 - S$ 3.5 psf pm / S$ 3.4 psf pm,3.9%,,22.0,,,,casa-aroma,21 CHIKU ROAD CASA AROMA SINGAPORE 429433,429433,1.31368235479563,103.906155072881,21,CHIKU ROAD,CASA AROMA,EUNOS MRT STATION,727.7312589615309,Exit C
WILMER HOUSE,wilmer-house,https://www.edgeprop.sg/condo-apartment/wilmer-house,https://www.edgeprop.sg/condo-apartment/wilmer-house,"4,596","12,868",2.8,WILMER HOUSE,ST. THOMAS WALK,238096,-,-,D9 / River Valley,Unknown,32 units,-,-,-,-,-,,,,,,,,,wilmer-house,1 SAINT THOMAS WALK WILMER HOUSE SINGAPORE 238096,238096,1.2964863297695,103.835526128586,1,SAINT THOMAS WALK,WILMER HOUSE,GREAT WORLD MRT STATION,235.8574081809512,Exit 5
ROSEVALE,rosevale,https://www.edgeprop.sg/condo-apartment/rosevale,https://www.edgeprop.sg/condo-apartment/rosevale,536,"1,502",2.8,ROSEVALE,Lincoln Road,308362,Apartment,Freehold,D11 / Novena,2001,32 units,"S$ 1,828 psf in Dec 2021 for a 1,313-sqft unit",-0.3%,"S$ 665 psf in Nov 2005 for a 1,389-sqft unit","Singaporean 75.8%, PR 12.9%, Foreigner 9.7%, Company 0.0%","HDB 14.5%, Private 85.5%","S$ 1,822 - S$ 1,822 psf / S$ 1,822 psf",S$ 3.3 - S$ 4.4 psf pm / S$ 4.0 psf pm,2.6%,ARTS ASSOCIATE COMPANY PTE LTD,24.0,ARCHITECTS PROJECT GROUP,SUNPEAK CONSTRUCTION PTE LTD,,rosevale,32 LINCOLN ROAD ROSEVALE SINGAPORE 308362,308362,1.31596822029115,103.84339151806,32,LINCOLN ROAD,ROSEVALE,NOVENA MRT STATION,436.77444210208665,Exit B
GRACIOUS MANSIONS,gracious-mansions,https://www.edgeprop.sg/condo-apartment/gracious-mansions,https://www.edgeprop.sg/condo-apartment/gracious-mansions,"3,180","4,452",1.4,GRACIOUS MANSIONS,Jalan Rendang,"428352, 428354, 428356, 428358, 428359, 428360, 428361, 428362, 428363, 423854",Apartment,Freehold,D15 / Bedok,1985,16 units,"S$ 632 psf in Sep 2006 for a 1,938-sqft unit",0.0%,"S$ 397 psf in Sep 2004 for a 1,938-sqft unit","Singaporean 25.9%, PR 3.7%, Foreigner 7.4%, Company 63.0%","HDB 27.8%, Private 72.2%",S$ 632 - S$ 632 psf / S$ 632 psf,S$ 2.5 - S$ 3.1 psf pm / S$ 2.8 psf pm,5.2%,,,,,,gracious-mansions,21 JALAN RENDANG GRACIOUS MANSIONS SINGAPORE 428352,428352,1.30688972732077,103.912096074243,21,JALAN RENDANG,GRACIOUS MANSIONS,KEMBANGAN MRT STATION,1563.3379499986172,Exit A
HERTFORD COLLECTION,hertford-collection,https://www.edgeprop.sg/condo-apartment/hertford-collection,https://www.edgeprop.sg/condo-apartment/hertford-collection,"1,394","1,952",1.4,HERTFORD COLLECTION,Hertford Road,219408,Apartment,Freehold,D8 / Kallang,2013,25 units,"S$ 1,524 psf in Jun 2014 for a 1,346-sqft unit",-0.9%,"S$ 970 psf in Nov 2010 for a 1,432-sqft unit","Singaporean 75.0%, PR 16.7%, Foreigner 8.3%, Company 0.0%","HDB 44.4%, Private 55.6%","S$ 1,510 - S$ 1,510 psf / S$ 1,510 psf",S$ 4.1 - S$ 6.0 psf pm / S$ 5.1 psf pm,4.1%,CHELSFORD GREEN PTE LTD,12.0,,,,hertford-collection,40 HERTFORD ROAD HERTFORD COLLECTION SINGAPORE 219408,219408,1.31325732047152,103.848953427343,40,HERTFORD ROAD,HERTFORD COLLECTION,FARRER PARK MRT STATION,438.50764050892224,Exit E
GALLERY FIFTEEN,gallery-fifteen,https://www.edgeprop.sg/condo-apartment/gallery-fifteen,https://www.edgeprop.sg/condo-apartment/gallery-fifteen,688,"1,926",2.8,GALLERY FIFTEEN,Jalan Dusun,329370,Apartment,Freehold,D12 / Novena,2003,14 units,"S$ 1,377 psf in Jan 2024 for a 1,453-sqft unit",0.0%,"S$ 233 psf in Oct 2004 for a 2,443-sqft unit","Singaporean 61.1%, PR 8.3%, Foreigner 5.6%, Company 25.0%","HDB 19.4%, Private 80.6%","S$ 1,377 - S$ 1,377 psf / S$ 1,377 psf",S$ 3.3 - S$ 3.8 psf pm / S$ 3.5 psf pm,3.1%,W Y STEEL CONSTRUCTION PTE LTD,22.0,,,,gallery-fifteen,31 JALAN DUSUN GALLERY FIFTEEN SINGAPORE 329370,329370,1.32756140104682,103.843705507242,31,JALAN DUSUN,GALLERY FIFTEEN,TOA PAYOH MRT STATION,681.7126827469287,Exit B
LAKEPOINT CONDOMINIUM,lakepoint-condominium,https://www.edgeprop.sg/condo-apartment/lakepoint-condominium,https://www.edgeprop.sg/condo-apartment/lakepoint-condominium,"52,238","73,132",1.4,LAKEPOINT CONDOMINIUM,Lakepoint Drive,"648923, 648924, 648925, 648926, 648927",Condominium,99 Yrs From 01/10/1983,D22 / Jurong West,Unknown,304 units,"S$ 1,006 psf in Apr 2025 for a 915-sqft unit",-11.9%,"S$ 164 psf in Jan 2005 for a 3,261-sqft unit","Singaporean 73.1%, PR 19.3%, Foreigner 6.9%, Company 0.7%","HDB 48.7%, Private 51.3%","S$ 805 - S$ 1,006 psf / S$ 886 psf",S$ 1.9 - S$ 4.1 psf pm / S$ 2.7 psf pm,3.6%,,,,,,lakepoint-condominium,2 LAKEPOINT DRIVE LAKEPOINT CONDOMINIUM SINGAPORE 648923,648923,1.34047509435306,103.716756016953,2,LAKEPOINT DRIVE,LAKEPOINT CONDOMINIUM,LAKESIDE MRT STATION,566.2755248718522,Exit A
CAPE ROYALE,cape-royale,https://www.edgeprop.sg/condo-apartment/cape-royale,https://www.edgeprop.sg/condo-apartment/cape-royale,"21,523","61,600",2.86,CAPE ROYALE,COVE WAY,"098202, 098203, 098204, 098205, 098206, 098207, 098208, 098209",Condominium,99 yrs from 07/04/2008,D4 / Southern Islands,2013,302 units,"S$ 3,069 psf in Oct 2024 for a 3,111-sqft unit",-24.8%,"S$ 2,023 psf in Mar 2024 for a 2,691-sqft unit","Singaporean 51.8%, PR 29.1%, Foreigner 18.2%, Company 0.9%","HDB 3.6%, Private 96.4%","S$ 2,113 - S$ 3,069 psf / S$ 2,308 psf",S$ 4.5 - S$ 7.5 psf pm / S$ 5.6 psf pm,2.9%,PINNACLE (SENTOSA) PTE LTD,12.0,,,,cape-royale,17 COVE WAY CAPE ROYALE SINGAPORE 098205,098205,1.24140780893921,103.839387619472,17,COVE WAY,CAPE ROYALE,HARBOURFRONT MRT STATION,3232.953608979716,Exit A
THE JOVELL,the-jovell,https://www.edgeprop.sg/condo-apartment/the-jovell,https://www.edgeprop.sg/condo-apartment/the-jovell,"22,554","31,575",1.4,THE JOVELL,Flora Drive,"506760, 506761, 506762, 506763, 506764, 506765, 506852, 506853, 506854, 506855",Condominium,99 yrs from 08/03/2018,D17 / Pasir Ris,2022,428 units,"S$ 1,696 psf in May 2024 for a 678-sqft unit",-10.4%,"S$ 1,121 psf in Jan 2021 for a 904-sqft unit","Singaporean 88.1%, PR 10.8%, Foreigner 1.1%, Company 0.0%","HDB 66.2%, Private 33.8%","S$ 1,382 - S$ 1,650 psf / S$ 1,519 psf",S$ 3.6 - S$ 6.4 psf pm / S$ 4.9 psf pm,3.9%,TRIPARTITE DEVELOPERS PTE LTD,3.0,,,,the-jovell,21 FLORA DRIVE THE JOVELL SINGAPORE 506761,506761,1.35800736226486,103.966834515637,21,FLORA DRIVE,THE JOVELL,TAMPINES EAST MRT STATION,1241.185310352241,Exit D
SUITES@ KATONG,suites-katong,https://www.edgeprop.sg/condo-apartment/suites-katong,https://www.edgeprop.sg/condo-apartment/suites-katong,835,287,3.0,SUITES@ KATONG,Tanjong Katong Road,437050,Apartment,Freehold,D15 / Marine Parade,2012,51 units,"S$ 1,885 psf in Jan 2013 for a 377-sqft unit",-7.9%,S$ 950 psf in May 2010 for a 850-sqft unit,"Singaporean 75.6%, PR 20.9%, Foreigner 3.5%, Company 0.0%","HDB 41.2%, Private 58.8%","S$ 1,684 - S$ 1,755 psf / S$ 1,736 psf",S$ 4.0 - S$ 8.6 psf pm / S$ 6.3 psf pm,4.3%,OXLEY WEALTH PTE LTD,13.0,,,,suites-katong,263 TANJONG KATONG ROAD SUITES@ KATONG SINGAPORE 437050,437050,1.30780276693953,103.895551267647,263,TANJONG KATONG ROAD,SUITES@ KATONG,DAKOTA MRT STATION,703.1778990750001,Exit A
THE TRUMPS,the-trumps,https://www.edgeprop.sg/condo-apartment/the-trumps,https://www.edgeprop.sg/condo-apartment/the-trumps,"7,317","22,031",3.0,THE TRUMPS,Jalan Kembangan,419154,Condominium,99 Yrs From 14/08/2000,D14 / Bedok,2005,189 units,"S$ 1,880 psf in Sep 2024 for a 1,356-sqft unit",-13.7%,S$ 310 psf in Apr 2005 for a 646-sqft unit,"Singaporean 68.1%, PR 15.2%, Foreigner 13.1%, Company 3.7%","HDB 33.2%, Private 66.8%","S$ 1,082 - S$ 1,880 psf / S$ 1,622 psf",S$ 3.1 - S$ 5.9 psf pm / S$ 4.5 psf pm,3.3%,SUREWORTH DEVELOPMENTS PTE LTD,20.0,WILLIAM LIM ASSOCIATES PTE,WAN SOON CONSTRUCTION PTE LTD,,the-trumps,1 JALAN KEMBANGAN THE TRUMPS SINGAPORE 419154,419154,1.32002610262337,103.91348728953,1,JALAN KEMBANGAN,THE TRUMPS,KEMBANGAN MRT STATION,116.83281861637276,Exit A
EVERGREEN PARK,evergreen-park,https://www.edgeprop.sg/condo-apartment/evergreen-park,https://www.edgeprop.sg/condo-apartment/evergreen-park,"17,018","47,651",2.8,EVERGREEN PARK,Hougang Avenue 7,"538800, 538801, 538802, 538803",Apartment,99 Yrs From 01/10/1995,D19 / Hougang,1999,394 units,"S$ 1,197 psf in Jul 2024 for a 1,044-sqft unit",-8.1%,"S$ 247 psf in Aug 2005 for a 1,087-sqft unit","Singaporean 76.9%, PR 16.4%, Foreigner 4.4%, Company 0.2%","HDB 69.5%, Private 30.5%","S$ 994 - S$ 1,197 psf / S$ 1,100 psf",S$ 2.7 - S$ 4.3 psf pm / S$ 3.5 psf pm,3.8%,,,,,,evergreen-park,31 HOUGANG AVENUE 7 EVERGREEN PARK SINGAPORE 538800,538800,1.36849381331647,103.89911767534,31,HOUGANG AVENUE 7,EVERGREEN PARK,HOUGANG MRT STATION,765.7927903485987,Exit A
ST THOMAS COURT,st-thomas-court,https://www.edgeprop.sg/condo-apartment/st-thomas-court,https://www.edgeprop.sg/condo-apartment/st-thomas-court,752,"2,101",2.79,ST THOMAS COURT,St. Thomas Walk,238120,Apartment,Freehold,D9 / River Valley,1993,11 units,"S$ 2,010 psf in Feb 2025 for a 1,119-sqft unit",0.0%,"S$ 715 psf in Mar 2002 for a 1,119-sqft unit","Singaporean 84.6%, PR 15.4%, Foreigner 0.0%, Company 0.0%","HDB 38.5%, Private 61.5%","S$ 2,010 - S$ 2,010 psf / S$ 2,010 psf",S$ 3.4 - S$ 4.8 psf pm / S$ 4.1 psf pm,2.5%,,,,,,st-thomas-court,40 SAINT THOMAS WALK SAINT THOMAS COURT SINGAPORE 238120,238120,1.29750880469903,103.836268849611,40,SAINT THOMAS WALK,SAINT THOMAS COURT,GREAT WORLD MRT STATION,335.5965866634372,Exit 5
NEWTON IMPERIAL,newton-imperial,https://www.edgeprop.sg/condo-apartment/newton-imperial,https://www.edgeprop.sg/condo-apartment/newton-imperial,"1,966","5,503",2.8,NEWTON IMPERIAL,Newton Road,307956,Apartment,Freehold,D11 / Novena,2011,36 units,"S$ 2,021 psf in Jul 2013 for a 1,938-sqft unit",-8.1%,"S$ 1,652 psf in Feb 2019 for a 1,938-sqft unit","Singaporean 46.2%, PR 38.5%, Foreigner 15.4%, Company 0.0%","HDB 7.7%, Private 92.3%","S$ 1,858 - S$ 1,858 psf / S$ 1,858 psf",S$ 3.9 - S$ 4.6 psf pm / S$ 4.2 psf pm,2.7%,GREAT NEWTON PROPERTIES PTE LTD,14.0,,,,newton-imperial,24 NEWTON ROAD NEWTON IMPERIAL SINGAPORE 307956,307956,1.3153487379872,103.84144796992,24,NEWTON ROAD,NEWTON IMPERIAL,NEWTON MRT STATION,405.0361707374933,Exit C
ALEX RESIDENCES,alex-residences,https://www.edgeprop.sg/condo-apartment/alex-residences,https://www.edgeprop.sg/condo-apartment/alex-residences,"6,501","31,857",4.9,ALEX RESIDENCES,Alexandra View,158744,Apartment,"99 Yrs From 18/03/2013, 99 Years Leasehold",D3 / Bukit Merah,2017,429 units,"S$ 2,345 psf in Nov 2024 for a 1,044-sqft unit",-6.0%,"S$ 1,341 psf in Apr 2017 for a 1,044-sqft unit","Singaporean 72.4%, PR 16.0%, Foreigner 11.6%, Company 0.0%","HDB 48.1%, Private 51.9%","S$ 1,995 - S$ 2,345 psf / S$ 2,205 psf",S$ 5.1 - S$ 10.0 psf pm / S$ 7.1 psf pm,3.9%,SINGLAND HOMES (ALEXANDRA) PTE LTD,8.0,,,,alex-residences,28 ALEXANDRA VIEW ALEX RESIDENCES SINGAPORE 158744,158744,1.29056999681587,103.819000781728,28,ALEXANDRA VIEW,ALEX RESIDENCES,REDHILL MRT STATION,228.9966810138905,Exit B
WANG LODGE,wang-lodge,https://www.edgeprop.sg/condo-apartment/wang-lodge,https://www.edgeprop.sg/condo-apartment/wang-lodge,472,"1,321",2.8,WANG LODGE,Lorong 4 Geylang,399264,Apartment,Freehold,D14 / Geylang,1995,11 units,"S$ 1,044 psf in Feb 2023 for a 1,464-sqft unit",0.0%,"S$ 273 psf in Feb 2001 for a 1,464-sqft unit","Singaporean 85.0%, PR 15.0%, Foreigner 0.0%, Company 0.0%","HDB 30.0%, Private 70.0%","S$ 1,044 - S$ 1,044 psf / S$ 1,044 psf",S$ 3.1 - S$ 5.1 psf pm / S$ 3.8 psf pm,4.4%,,,,,,wang-lodge,5 LORONG 4 GEYLANG WANG LODGE SINGAPORE 399264,399264,1.31132969345473,103.87602835242,5,LORONG 4 GEYLANG,WANG LODGE,KALLANG MRT STATION,478.3416645007295,Exit A
MIAPLACE,miaplace,https://www.edgeprop.sg/condo-apartment/miaplace,https://www.edgeprop.sg/condo-apartment/miaplace,"2,266","4,759",2.1,MIAPLACE,Arthur Road,-,-,-,D15 / Marine Parade,Unknown,27 units,-,-,-,-,-,,,,,,,,,miaplace,116 ARTHUR ROAD MIA PLACE SINGAPORE 439830,439830,1.29907003420583,103.887956832049,116,ARTHUR ROAD,MIA PLACE,MOUNTBATTEN MRT STATION,935.76954467586,Exit B
GARDEN PARK RESIDENCES,garden-park-residences,https://www.edgeprop.sg/condo-apartment/garden-park-residences,https://www.edgeprop.sg/condo-apartment/garden-park-residences,"1,806","2,528",1.4,GARDEN PARK RESIDENCES,Lorong M Telok Kurau,425310,Apartment,Freehold,D15 / Bedok,2016,36 units,"S$ 1,706 psf in Aug 2022 for a 721-sqft unit",-2.4%,"S$ 1,100 psf in Mar 2015 for a 1,238-sqft unit","Singaporean 85.1%, PR 8.5%, Foreigner 6.4%, Company 0.0%","HDB 57.4%, Private 42.6%","S$ 1,665 - S$ 1,665 psf / S$ 1,665 psf",S$ 3.5 - S$ 5.5 psf pm / S$ 4.7 psf pm,3.4%,BOULEVARD RESIDENCES PTE LTD,9.0,,,,garden-park-residences,25 LORONG M TELOK KURAU GARDEN PARK RESIDENCES SINGAPORE 425310,425310,1.31079169432658,103.91006352809,25,LORONG M TELOK KURAU,GARDEN PARK RESIDENCES,KEMBANGAN MRT STATION,1171.1665785574437,Exit A
BISHOPSGATE RESIDENCES,bishopsgate-residences,https://www.edgeprop.sg/condo-apartment/bishopsgate-residences,https://www.edgeprop.sg/condo-apartment/bishopsgate-residences,"6,937","9,000",1.4,BISHOPSGATE RESIDENCES,Bishopsgate,247676,Condominium,Freehold,D10 / Tanglin,2012,29 condos and 2 landed units,"S$ 3,913 psf in Jul 2018 for a 2,939-sqft unit",-15.6%,"S$ 3,174 psf in Nov 2018 for a 2,583-sqft unit","Singaporean 13.6%, PR 50.0%, Foreigner 27.3%, Company 9.1%","HDB 0.0%, Private 100.0%","S$ 3,302 - S$ 3,302 psf / S$ 3,302 psf",S$ 5.5 - S$ 5.5 psf pm / S$ 5.5 psf pm,2.0%,PRIME RESIDENTIAL DEVELOPMENT PTE LTD,13.0,RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD,POH LIAN CONSTRUCTION PTE LTD,,bishopsgate-residences,1 BISHOPSGATE BISHOPSGATE RESIDENCES SINGAPORE 247676,247676,1.29843407033814,103.824518766243,1,BISHOPSGATE,BISHOPSGATE RESIDENCES,ORCHARD BOULEVARD MRT STATION,453.3564354841874,Exit 2
CHUN TIN COURT,chun-tin-court,https://www.edgeprop.sg/condo-apartment/chun-tin-court,https://www.edgeprop.sg/condo-apartment/chun-tin-court,"2,386",,,CHUN TIN COURT,Yuk Tong Avenue,"596306, 596308, 596310, 596312, 596314, 596316, 596318, 596320, 596322, 596324, 596326",Apartment,Freehold,D21 / Bukit Timah,1984,11 units,"S$ 1,239 psf in May 2018 for a 2,002-sqft unit",0.0%,"S$ 321 psf in Apr 2000 for a 2,971-sqft unit","Singaporean 100.0%, PR 0.0%, Foreigner 0.0%, Company 0.0%","HDB 33.3%, Private 66.7%","S$ 1,239 - S$ 1,239 psf / S$ 1,239 psf",S$ 2.8 - S$ 2.8 psf pm / S$ 2.8 psf pm,2.7%,,,,,,chun-tin-court,9 YUK TONG AVENUE CHUN TIN COURT SINGAPORE 596314,596314,1.34207747272696,103.774748014932,9,YUK TONG AVENUE,CHUN TIN COURT,BEAUTY WORLD MRT STATION,95.57249713896468,Exit B
TIVOLI GRANDE,tivoli-grande,https://www.edgeprop.sg/condo-apartment/tivoli-grande,https://www.edgeprop.sg/condo-apartment/tivoli-grande,"3,946","4,198",1.4,TIVOLI GRANDE,Koon Seng Road,"427059, 427060",Apartment,Freehold,D15 / Marine Parade,2012,82 units,"S$ 1,740 psf in Jan 2025 for a 797-sqft unit",-10.7%,"S$ 864 psf in Apr 2020 for a 1,528-sqft unit","Singaporean 73.2%, PR 11.3%, Foreigner 12.7%, Company 2.8%","HDB 47.2%, Private 52.8%","S$ 1,380 - S$ 1,740 psf / S$ 1,553 psf",S$ 3.4 - S$ 5.5 psf pm / S$ 4.6 psf pm,3.6%,KS DEVELOPMENT PTE LTD,13.0,RONNY CHIN ARCHITECTS PTE LTD,SL BRILLIANT CONSTRUCTION PTE LTD,,tivoli-grande,126 KOON SENG ROAD TIVOLI GRANDE SINGAPORE 427059,427059,1.31265222713663,103.906189486223,126,KOON SENG ROAD,TIVOLI GRANDE,EUNOS MRT STATION,833.1790058939522,Exit C
THE CALLISTA,the-callista,https://www.edgeprop.sg/condo-apartment/the-callista,https://www.edgeprop.sg/condo-apartment/the-callista,"3,610","10,107",2.8,THE CALLISTA,Mar Thoma Road,328702,Apartment,999 Yrs From 02/06/1882,D12 / Kallang,2005,87 units,"S$ 1,368 psf in Jun 2024 for a 592-sqft unit",-6.3%,"S$ 446 psf in Oct 2006 for a 1,109-sqft unit","Singaporean 83.8%, PR 13.8%, Foreigner 2.5%, Company 0.0%","HDB 60.2%, Private 39.8%","S$ 1,261 - S$ 1,320 psf / S$ 1,282 psf",S$ 2.2 - S$ 4.4 psf pm / S$ 3.5 psf pm,3.3%,EVANSVILLE INVESTMENTS PTE LTD,20.0,,,,the-callista,22 MAR THOMA ROAD THE CALLISTA SINGAPORE 328702,328702,1.32751519175502,103.86282558481,22,MAR THOMA ROAD,THE CALLISTA,POTONG PASIR MRT STATION,763.5230393302339,Exit C
THE SOUND,the-sound,https://www.edgeprop.sg/condo-apartment/the-sound,https://www.edgeprop.sg/condo-apartment/the-sound,"7,286","10,135",1.4,THE SOUND,East Coast Road,"429069, 429070, 429071, 429072, 429073, 429074, 429075",Condominium,Freehold,D15 / Bedok,2013,104 units,"S$ 2,121 psf in Apr 2025 for a 1,066-sqft unit",-5.0%,"S$ 1,272 psf in Nov 2016 for a 1,518-sqft unit","Singaporean 63.3%, PR 20.2%, Foreigner 16.5%, Company 0.0%","HDB 22.0%, Private 78.0%","S$ 1,923 - S$ 2,121 psf / S$ 2,014 psf",S$ 3.3 - S$ 6.0 psf pm / S$ 4.7 psf pm,2.8%,BAYSHORE GREEN PTE LTD,12.0,,,,the-sound,539 EAST COAST ROAD THE SOUND SINGAPORE 429069,429069,1.31020604772432,103.914763365301,539,EAST COAST ROAD,THE SOUND,KEMBANGAN MRT STATION,1208.8496395369452,Exit A
CASHEW HEIGHTS CONDOMINIUM,cashew-heights-condominium,https://www.edgeprop.sg/condo-apartment/cashew-heights-condominium,https://www.edgeprop.sg/condo-apartment/cashew-heights-condominium,"88,563","187,852",2.1,CASHEW HEIGHTS CONDOMINIUM,Cashew Road,"679656, 679658, 679660, 679662, 679664, 679666, 679668, 679670, 679672, 679674, 679675, 679665",Condominium,999 Yrs From 25/09/1882,D23 / Bukit Panjang,1992,596 units,"S$ 1,671 psf in Jul 2024 for a 1,227-sqft unit",-7.8%,"S$ 334 psf in Feb 2005 for a 1,647-sqft unit","Singaporean 89.3%, PR 8.4%, Foreigner 2.1%, Company 0.0%","HDB 50.0%, Private 50.0%","S$ 1,489 - S$ 1,671 psf / S$ 1,541 psf",S$ 2.1 - S$ 3.7 psf pm / S$ 2.8 psf pm,2.2%,,,,,,,,,,,,,,,,
THE ORIENT,the-orient,https://www.edgeprop.sg/condo-apartment/the-orient,https://www.edgeprop.sg/condo-apartment/the-orient,"2,563","3,588",1.4,THE ORIENT,Pasir Panjang Road (and 1 others),118610,"Apartment, Condominium",Freehold,D5 / Queenstown,2017,52 units,"S$ 2,052 psf in May 2015 for a 592-sqft unit",-5.9%,"S$ 1,613 psf in Apr 2018 for a 1,550-sqft unit","Singaporean 76.4%, PR 16.4%, Foreigner 7.3%, Company 0.0%","HDB 39.6%, Private 60.4%","S$ 1,803 - S$ 2,023 psf / S$ 1,930 psf",S$ 4.6 - S$ 9.7 psf pm / S$ 5.7 psf pm,3.6%,AURUM LAND PTE LTD,8.0,,,,the-orient,251 PASIR PANJANG ROAD THE ORIENT SINGAPORE 118610,118610,1.28094771760363,103.783546603867,251,PASIR PANJANG ROAD,THE ORIENT,HAW PAR VILLA MRT STATION,290.2345543488849,Exit A
ALLSWORTH PARK,allsworth-park,https://www.edgeprop.sg/condo-apartment/allsworth-park,https://www.edgeprop.sg/condo-apartment/allsworth-park,"17,383","36,505",2.1,ALLSWORTH PARK,Holland Road,"278637, 278638, 278639, 278640, 279639",Condominium,999 Yrs From 06/07/1885,D10 / Bukit Timah,1985,156 condos and 14 landed units,"S$ 2,093 psf in Apr 2023 for a 1,959-sqft unit",-11.3%,"S$ 445 psf in Jul 2001 for a 1,033-sqft unit","Singaporean 75.9%, PR 12.8%, Foreigner 9.9%, Company 0.5%","HDB 12.8%, Private 87.2%","S$ 1,723 - S$ 2,010 psf / S$ 1,857 psf",S$ 2.8 - S$ 5.0 psf pm / S$ 3.6 psf pm,2.3%,,,,,,allsworth-park,365 HOLLAND ROAD ALLSWORTH PARK SINGAPORE 278639,278639,1.31911973287524,103.780155254785,365,HOLLAND ROAD,ALLSWORTH PARK,DOVER MRT STATION,846.9064523848905,Exit B
ATTITUDE AT KIM YAM,attitude-at-kim-yam,https://www.edgeprop.sg/condo-apartment/attitude-at-kim-yam,https://www.edgeprop.sg/condo-apartment/attitude-at-kim-yam,535,"1,700",3.17,ATTITUDE AT KIM YAM,Kim Yam Road,239319,Apartment,999 Yrs From 01/07/1841,D9 / River Valley,2011,33 units,"S$ 2,323 psf in Sep 2017 for a 344-sqft unit",-6.7%,"S$ 1,151 psf in Jun 2009 for a 495-sqft unit","Singaporean 84.5%, PR 9.9%, Foreigner 5.6%, Company 0.0%","HDB 45.1%, Private 54.9%","S$ 2,100 - S$ 2,235 psf / S$ 2,168 psf",S$ 5.2 - S$ 8.6 psf pm / S$ 7.6 psf pm,4.2%,KING & KING DEVELOPMENT PTE LTD,14.0,,,,attitude-at-kim-yam,1 KIM YAM ROAD ATTITUDE AT KIM YAM SINGAPORE 239319,239319,1.29551395924241,103.838907866844,1,KIM YAM ROAD,ATTITUDE AT KIM YAM,SOMERSET MRT STATION,505.165966136103,Exit A
TRENDALE TOWER,trendale-tower,https://www.edgeprop.sg/condo-apartment/trendale-tower,https://www.edgeprop.sg/condo-apartment/trendale-tower,"2,017","6,753",2.8,TRENDALE TOWER,Cairnhill Road,229681,Apartment,Freehold,D9 / Newton,1982,18 units,"S$ 1,715 psf in Oct 2015 for a 3,208-sqft unit",-7.3%,"S$ 586 psf in Jun 2004 for a 3,208-sqft unit","Singaporean 55.6%, PR 27.8%, Foreigner 11.1%, Company 5.6%","HDB 0.0%, Private 100.0%","S$ 1,590 - S$ 1,590 psf / S$ 1,590 psf",S$ 2.3 - S$ 2.3 psf pm / S$ 2.3 psf pm,1.7%,,,,,,trendale-tower,79 CAIRNHILL ROAD TRENDALE TOWER SINGAPORE 229681,229681,1.30964595890626,103.835867406972,79,CAIRNHILL ROAD,TRENDALE TOWER,NEWTON MRT STATION,375.9294349568169,Exit B
FOURTH AVENUE RESIDENCES,fourth-avenue-residences,https://www.edgeprop.sg/condo-apartment/fourth-avenue-residences,https://www.edgeprop.sg/condo-apartment/fourth-avenue-residences,,,,FOURTH AVENUE RESIDENCES,Fourth Avenue,"268660, 268672, 268673, 268674, 268675, 268676, 268677, 268678, 268679",Apartment,99 yrs from 07/03/2018,D10 / Bukit Timah,2022,476 units,"S$ 2,758 psf in May 2023 for a 689-sqft unit",-10.9%,"S$ 2,039 psf in May 2020 for a 484-sqft unit","Singaporean 83.0%, PR 8.9%, Foreigner 7.9%, Company 0.2%","HDB 28.1%, Private 71.9%","S$ 2,178 - S$ 2,749 psf / S$ 2,457 psf",S$ 5.7 - S$ 11.6 psf pm / S$ 7.4 psf pm,3.6%,VALLEYPOINT INVESTMENTS PTE LTD,3.0,,,,fourth-avenue-residences,4 FOURTH AVENUE FOURTH AVENUE RESIDENCES SINGAPORE 268672,268672,1.33005484677732,103.797015631221,4,FOURTH AVENUE,FOURTH AVENUE RESIDENCES,SIXTH AVENUE MRT STATION,94.90826896741486,Exit A
